"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000239002",57.997263338255,2.75560980118037,0.525207802289934,2.0986110919195e-13,2.15632289694728e-09
"ENSG00000081237",85.6158906528174,2.76643105171232,0.702087908962708,8.05131675336496e-13,4.13636398204125e-09
"ENSG00000248223",361.909273324036,-2.06767214847262,0.320524836013197,5.90569580909751e-12,2.0227008146159e-08
"ENSG00000198840",63.190089741091,1.36077369428608,0.431561463119377,6.33144602483802e-11,1.62639019763027e-07
"ENSG00000198888",215.639462179014,1.48546205555276,0.409180869519255,2.71263986824213e-10,5.57447492923758e-07
"ENSG00000198712",153.793772265701,1.63312119264848,0.439995373837757,4.14982992358788e-10,7.10658374414424e-07
"ENSG00000143546",87.5051794783602,1.11142496682761,0.497508540527817,6.02255873242744e-10,7.7352238719615e-07
"ENSG00000198804",454.866085107978,1.46910108712977,0.426478667844718,5.65347960887499e-10,7.7352238719615e-07
"ENSG00000198763",164.731158214131,1.322092167645,0.378480700967249,7.01352261068032e-10,8.00710498052669e-07
"ENSG00000211459",34928.8700061074,1.73955325346727,0.496830072473994,9.24963191636674e-10,9.50399679406683e-07
"ENSG00000130066",85.1297782503445,2.81038427320577,0.505051508379441,1.27746839166578e-09,1.19327161130599e-06
"ENSG00000228253",20.5327453092596,0.96591945197521,0.380729275445546,1.46156673804976e-09,1.25146651945511e-06
"ENSG00000121552",7.9644082183193,0.236832050112945,0.384311604716768,1.6136688615636e-09,1.27541904250507e-06
"ENSG00000198899",129.777413352977,1.23247665230237,0.408545770334216,2.80299996628209e-09,1.92005497690323e-06
"ENSG00000210082",64714.7107634601,1.40076795099946,0.464586919598688,2.64227704635745e-09,1.92005497690323e-06
"ENSG00000157106",17.621832604464,2.79797737118886,0.558940138359591,4.12168899355498e-09,2.59252342309308e-06
"ENSG00000260807",27.6470680806617,1.04032535723241,0.191471849298239,4.28933315742894e-09,2.59252342309308e-06
"ENSG00000198938",199.678091917561,1.30704665414603,0.383453962747513,4.83265216947348e-09,2.75863894674111e-06
"ENSG00000162645",11.9456005483785,3.14902793026406,0.595577948766501,6.56966718450226e-09,3.55280685898741e-06
"ENSG00000139218",6.9818516600952,3.20061318068676,0.667655039509611,1.21500882058573e-08,6.15613454894729e-06
"ENSG00000168026",27.1627374389704,-2.92147161204893,0.660226308441392,1.25818808299653e-08,6.15613454894729e-06
"ENSG00000134313",8.01442623575624,4.19248009968799,0.850516409267572,2.08728474373918e-08,9.7485685190546e-06
"ENSG00000156508",82.8831875134766,2.82426213398434,0.57011939891433,2.73064338394249e-08,1.21988525086996e-05
"ENSG00000173559",16.8455990193801,2.57839382963026,0.522011426107568,2.91304060265829e-08,1.24714550801308e-05
"ENSG00000116679",34.4121262252018,2.9041483010705,0.59617968193101,3.75704418783862e-08,1.54414516120167e-05
"ENSG00000131873",16.5446920162896,3.19931385278653,0.715924488624509,4.40448696796622e-08,1.73423751225729e-05
"ENSG00000149311",4.17714995124323,4.20277191111113,0.880115243639179,4.55712047016514e-08,1.73423751225729e-05
"ENSG00000229124",19.2846620936232,-1.73893895328785,0.354146510179427,5.38699499287125e-08,1.97683476970543e-05
"ENSG00000115956",45.7796140619732,2.46118369530159,0.512233172271396,5.99219773759956e-08,2.12309764668398e-05
"ENSG00000251562",939.789588312625,1.87671370932585,0.392187544615755,8.45226241479909e-08,2.89489987706869e-05
"ENSG00000248540",12.4832104315594,1.32434562582395,0.28073060147346,9.47885411751228e-08,3.14178148572383e-05
"ENSG00000166710",26.9982948024961,2.35598910041496,0.493758827839914,1.00006535048696e-07,3.21114733632921e-05
"ENSG00000198886",319.527569889893,1.24182519230193,0.33723529480001,1.51986886975061e-07,4.73231898081441e-05
"ENSG00000198034",5.95339884339679,2.56100136361489,0.565295868309928,1.96633553704045e-07,5.94238165973253e-05
"ENSG00000140379",8.62482669259627,2.59887551327002,0.580349779051501,3.97311300564994e-07,0.000116639246094438
"ENSG00000153250",14.073042466475,-2.09862324512767,0.498953861276099,4.7112543127479e-07,0.000134467050176346
"ENSG00000171988",13.0311554491555,2.35314341767121,0.532730794121832,5.68169699746107e-07,0.000157782261213277
"ENSG00000110422",8.56745611167804,3.94637043311693,0.904961276898711,6.0111854950961e-07,0.00015837161785157
"ENSG00000198727",192.740886326856,1.16805544801534,0.337513725945456,5.91080513652227e-07,0.00015837161785157
"ENSG00000124256",2.37030524607236,2.01226316175016,0.467212148358012,6.6044800668433e-07,0.000169652581717037
"ENSG00000169429",73.3681806865429,2.32341676640293,0.539548746809998,7.3870256699951e-07,0.000185126070144389
"ENSG00000283293",547.517245323426,2.1467068261242,0.501321503799134,8.29856655563007e-07,0.00020301850323595
"ENSG00000168137",4.08212728754538,3.15070563341958,0.847205109686797,9.71220194657617e-07,0.000232076453490861
"ENSG00000134531",10.5808219643009,1.02133880997009,0.767114036436926,1.06471848044118e-06,0.000237825704055067
"ENSG00000198589",2.30627589979999,3.84060691233433,0.845636837794874,1.06128899494968e-06,0.000237825704055067
"ENSG00000205413",7.97992718077771,2.62054917550727,0.61755757907973,1.05017462091835e-06,0.000237825704055067
"ENSG00000059804",38.7944989320316,2.75590456149769,0.666273219785873,1.21760262720876e-06,0.000260643062386875
"ENSG00000164327",5.36330641878983,2.81567828417914,0.737358411355302,1.20487723904187e-06,0.000260643062386875
"ENSG00000034677",3.21362267368528,0.341713632738869,0.641604022084571,1.26032677048912e-06,0.000264282807485218
"ENSG00000272256",1.37984663406257,-2.62389372539875,0.567682609768906,1.28965798404514e-06,0.000265024715721277
"ENSG00000073756",28.823538654001,2.23194546629915,0.535004899341852,1.33360548433893e-06,0.000268386264285597
"ENSG00000212907",38.8782680903992,1.09568562654022,0.378708817519041,1.3582565199855e-06,0.000268386264285597
"ENSG00000102908",6.33145760106334,3.05322766508249,0.844928283747507,1.82075740340178e-06,0.000352986458867044
"ENSG00000033800",4.52313477691672,3.12504769987979,0.900266506078698,1.98655577315287e-06,0.000377997417947144
"ENSG00000122862",32.5540165057684,2.53047731488558,0.6251201051971,2.10709511672111e-06,0.000393643678623808
"ENSG00000238741",8.8591676328004,2.74213404679979,0.675709408091031,2.1615319306119e-06,0.000396602510482809
"ENSG00000135842",14.8024761431546,2.16754557177877,0.53636290115968,2.2972484359224e-06,0.000414109257528118
"ENSG00000135048",2.1054033452358,3.39344625297326,0.863504672416983,2.43139607206555e-06,0.000430734390352993
