"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000145888",2.89825172121157,-19.0716757844973,2.92238503847398,-6.52606536558791,6.75198631429256e-11,3.5772023493122e-07
"ENSG00000260807",27.6470680806617,1.76794746367601,0.343602465245648,5.14532822810823,2.67053464256604e-07,0.000707424626815745
"ENSG00000104093",7.64928154161258,5.08826018349049,1.08245091939836,4.70068443040229,2.59290951385764e-06,0.00343430865110444
"ENSG00000239572",9.12111436502809,4.71197426906769,0.997637947808499,4.72313054993391,2.32241660094933e-06,0.00343430865110444
"ENSG00000138081",3.14196525706594,5.55546886565627,1.24142262604054,4.47508265849414,7.63817572332055e-06,0.00545855101769705
"ENSG00000157106",17.621832604464,4.38245485141556,0.982880253391197,4.45878817515657,8.24243264280416e-06,0.00545855101769705
"ENSG00000173193",13.1008941598447,5.49386786944095,1.21858287364627,4.50840725588247,6.53161094216501e-06,0.00545855101769705
"ENSG00000234432",7.57715149720048,1.85534120853181,0.408424331343153,4.54268040895187,5.55434260828721e-06,0.00545855101769705
"ENSG00000162645",11.9456005483785,4.60232570929143,1.06811384863306,4.30883441421657,1.64117180262639e-05,0.00736080209147852
"ENSG00000226648",2.42239081149264,2.89709396336749,0.671900038570422,4.31179311960086,1.61935915556466e-05,0.00736080209147852
"ENSG00000248223",361.909273324036,-2.42294049618197,0.562774451733094,-4.30534913004739,1.66722584178449e-05,0.00736080209147852
"ENSG00000259001",24.1603716708009,4.55839215711403,1.0445997112766,4.36376930598924,1.27840390617859e-05,0.00736080209147852
"ENSG00000081237",92.0007712195084,5.44467166081815,1.28094281888681,4.25051889946952,2.13275837679765e-05,0.0086918106771338
"ENSG00000005810",9.92696104196988,5.5364167064315,1.33484742934548,4.14760262837392,3.35974878214099e-05,0.0108055453056352
"ENSG00000134313",8.01442623575624,6.24874684709509,1.51860271714001,4.11480025458099,3.87514837310434e-05,0.0108055453056352
"ENSG00000138688",8.14929276178442,4.03579042735647,0.975650188614758,4.13651375713516,3.52622223702424e-05,0.0108055453056352
"ENSG00000175471",4.85229027535529,5.55208904362588,1.34794439162975,4.11893033429448,3.80635191730626e-05,0.0108055453056352
"ENSG00000205413",7.97992718077771,4.73017227361392,1.1390102105255,4.15287960538261,3.28317492940003e-05,0.0108055453056352
"ENSG00000257354",7.93253857362429,4.25990459743905,1.03339014731931,4.12226167289243,3.75170679302525e-05,0.0108055453056352
"ENSG00000136869",17.8001086156906,4.67405033868977,1.14285871915663,4.0897884054636,4.31766894646792e-05,0.0111456932992824
"ENSG00000173559",16.8455990193801,3.87837718344395,0.949543947472014,4.08446306647461,4.41788522621612e-05,0.0111456932992824
"ENSG00000227252",5.6484532623474,3.43422655062414,0.865517969392168,3.96782813537183,7.25306079926786e-05,0.0174666891429641
"ENSG00000111859",5.75295663967838,6.85832502906646,1.74876283883476,3.92181539815674,8.78843140950762e-05,0.0181286169542983
"ENSG00000115956",45.7796140619732,3.67312012052269,0.940839738148212,3.90408692531656,9.45817845932072e-05,0.0181286169542983
"ENSG00000125772",7.79086069696491,4.59749475888068,1.17301105928231,3.91939591916003,8.87711860120512e-05,0.0181286169542983
"ENSG00000135365",3.86724567629833,5.09941112519759,1.30216878547788,3.91609074189732,8.9996386093092e-05,0.0181286169542983
"ENSG00000177575",4.08727377157589,6.08700727498726,1.56038497716498,3.90096505930645,9.58099801284166e-05,0.0181286169542983
"ENSG00000184588",14.4667734122927,3.52892207691745,0.9013722651905,3.91505509232818,9.03835673874014e-05,0.0181286169542983
"ENSG00000188906",12.8117100546116,3.71425668447169,0.95872993613506,3.87414280547556,0.000107000657509227,0.0195479132235822
"ENSG00000067066",7.45075857188212,3.95282403095259,1.02895923520333,3.84157495818722,0.000122247391523642,0.0197163432167418
"ENSG00000109046",4.35809036735829,5.11154404818374,1.32296834569788,3.86369338677363,0.000111685396532279,0.0197163432167418
"ENSG00000115415",11.5922496447341,5.2533447494881,1.37051525365332,3.83311658552103,0.000126529948918313,0.0197163432167418
"ENSG00000196576",4.6766520602088,-3.71915386297929,0.970187704523327,-3.8334374324055,0.00012636495284339,0.0197163432167418
"ENSG00000198604",12.7898313981178,4.65859192131866,1.20831636481521,3.8554405592538,0.000115521398321836,0.0197163432167418
"ENSG00000168016",3.90158341232633,5.16932846448911,1.36511524508882,3.78673411134075,0.000152640281265045,0.0224635613928391
"ENSG00000259895",26.610098362641,0.91191848893488,0.240688050590262,3.78879834997416,0.000151377721468175,0.0224635613928391
"ENSG00000114857",7.53360550629347,3.49033685222371,0.925024522818998,3.77323710466287,0.000161143009846032,0.0227151933776211
"ENSG00000156508",82.8831875134766,4.02009822808602,1.06619952209834,3.77049336898431,0.000162925131813817,0.0227151933776211
"ENSG00000251576",5.68336679785312,1.55163056975097,0.413524094913044,3.75221320556242,0.000175280297006131,0.0238111541932945
"ENSG00000121060",8.72371549578434,5.71983958483642,1.54508311380828,3.70196239523861,0.000213938332394758,0.0274626459386177
"ENSG00000124201",7.66040708114078,3.21538709706688,0.876420637858566,3.66877154436175,0.000243718741511609,0.0274626459386177
"ENSG00000124256",2.37030524607236,3.07082404895176,0.82860373608697,3.70602245103737,0.00021053964449846,0.0274626459386177
"ENSG00000134516",9.48928137516763,4.0861481372724,1.10845116746607,3.6863582782933,0.000227486031391938,0.0274626459386177
"ENSG00000149311",4.17714995124323,5.97465596335255,1.62932818172099,3.66694446851204,0.000245466075643593,0.0274626459386177
"ENSG00000159110",2.32586469664055,3.82756667384764,1.04404867455742,3.66608067911219,0.000246296250272675,0.0274626459386177
"ENSG00000163565",9.56969173192274,3.27085193499016,0.891584483225617,3.66858328798716,0.000243898240878568,0.0274626459386177
"ENSG00000198589",2.30627589979999,5.01417392689114,1.36869170580894,3.66347944216379,0.000248812194234362,0.0274626459386177
"ENSG00000272933",2.66403163844328,-2.67932606880812,0.72704527098626,-3.68522590783588,0.000228499872411594,0.0274626459386177
"ENSG00000168137",4.08212728754538,5.4627170586559,1.49826391347109,3.64603125626925,0.000266321596724669,0.0282194363889459
"ENSG00000172243",10.0943794919947,4.16828136467471,1.14248742079799,3.64842648487396,0.00026385137891918,0.0282194363889459
"ENSG00000198019",2.05286842637776,3.58180966868161,0.98664505682368,3.63029201221823,0.000283100752657263,0.0294091723054545
"ENSG00000172965",6.61785566524651,3.06166700325502,0.8456972760898,3.62028717582143,0.000294276218934953,0.0299822193830266
"ENSG00000283503",33.9272660227856,1.61770164855384,0.448716901502205,3.6051720876529,0.000311946150509517,0.0311828434981023
"ENSG00000198840",44.9959351236939,2.42595000032006,0.674623360052268,3.59600651855889,0.000323139704916807,0.0317035954935045
"ENSG00000116514",8.44805679944201,3.57334582146816,0.996860201222103,3.58460074651131,0.000337594234573423,0.032519531904909
"ENSG00000215301",3.60844745142061,4.71150981943796,1.31707793095892,3.57724452645538,0.000347235316556658,0.032850941198521
"ENSG00000038427",5.83848966125949,4.74664099073652,1.33686206638012,3.5505839458735,0.00038437753151801,0.0357268800347793
"ENSG00000275700",5.38127943955176,5.1988808001085,1.46792944886527,3.54164214371972,0.00039764454515023,0.0363227724173434
"ENSG00000196549",3.34059298244905,4.96370828283133,1.41339375335963,3.51190761317051,0.00044490262954842,0.0386408873991399
"ENSG00000235706",16.887334549384,1.07806523881553,0.306795519066393,3.51395366560824,0.000441489814894616,0.0386408873991399
"ENSG00000262520",1.9101764736689,4.66221389725393,1.32567502233181,3.5168603305607,0.00043668349785247,0.0386408873991399
"ENSG00000251562",939.789588312625,2.56507056556341,0.734179658073193,3.49379138655962,0.000476212980982792,0.0406931673104328
"ENSG00000273112",2.25225588022711,4.2033219419704,1.20652275000962,3.48383148344022,0.000494290603211229,0.0415674859652872
"ENSG00000104517",8.6496106923529,4.19093781332275,1.21137052286385,3.45966633182948,0.000540845127009115,0.0447718356702233
"ENSG00000118564",8.34089738388636,4.08675982271529,1.18916721530682,3.43665698995987,0.000588940934684897,0.0476047464668322
"ENSG00000248150",3.79337656023206,4.85795924368147,1.41434411816348,3.43477883585326,0.000593037611704592,0.0476047464668322
"ENSG00000114573",3.07134018622224,6.32503576541119,1.85575217702631,3.40834074921929,0.000653592225530928,0.0509225236891597
"ENSG00000130939",3.441666695697,4.93149209992295,1.44607060597701,3.41027061855744,0.000648984495880829,0.0509225236891597
"ENSG00000119508",3.13871904380699,3.16474644628345,0.930601337343473,3.4007542427541,0.000672002128092483,0.0515980764439707
"ENSG00000101577",5.65988416085368,2.77333024905143,0.817508083597819,3.39241935914092,0.000692783209604076,0.0524337920640342
"ENSG00000065243",4.22580195083527,4.01693418328763,1.19435032816037,3.36327967479594,0.000770222902182904,0.0574738159966905
"ENSG00000101972",6.35538160484654,5.70580207731169,1.70794288616686,3.34074524594745,0.000835538510424266,0.0612159272339848
"ENSG00000108424",4.07301906510419,3.6191950533294,1.08664955082728,3.33060005461196,0.000866590136381439,0.0612159272339848
"ENSG00000157601",11.3288332329908,4.74348594550829,1.42333551010268,3.33265481809422,0.000860215954418458,0.0612159272339848
"ENSG00000170581",4.88777584642504,4.09116384792786,1.2268808585664,3.3346056541369,0.000854204430531561,0.0612159272339848
"ENSG00000198223",5.64343728338257,3.06014318661122,0.920441787437763,3.32464608666861,0.000885308387308891,0.0617153136310856
"ENSG00000100201",15.8801166185796,4.12983464187722,1.2475003829749,3.31048767458399,0.000931335537267635,0.0628089626514338
"ENSG00000128512",6.9109812944544,3.31491666048421,1.00216381539739,3.30775928002324,0.000940456097962104,0.0628089626514338
"ENSG00000164327",5.36330641878983,4.31792518988266,1.30632552584229,3.30539754790336,0.000948417707080918,0.0628089626514338
"ENSG00000172493",6.9556511376109,3.17407467673039,0.960119132175126,3.30591753706606,0.000946659436264348,0.0628089626514338
"ENSG00000009790",5.66056453263924,2.69942174333487,0.817894725836091,3.30045133935225,0.000965294515916337,0.0631374116706759
"ENSG00000174501",7.09158194680274,3.80623816490038,1.15711730446528,3.28941426267865,0.00100396138296821,0.0640841856260915
"ENSG00000272808",17.5763183251076,2.70639743350949,0.822605330246634,3.29003148168035,0.00100176174140265,0.0640841856260915
"ENSG00000222043",8.0894679333919,-2.41936909956096,0.738625830337832,-3.27550026033396,0.00105475017145357,0.066524600099536
"ENSG00000198034",5.95339884339679,3.4139840289585,1.04521618130933,3.26629465751462,0.00108964802691924,0.0679171205484486
"ENSG00000103569",10.6481431292466,3.83666266542332,1.17761336794205,3.2579985671597,0.00112200972862425,0.0691210179331543
"ENSG00000059804",38.7944989320316,3.82531217425815,1.17604128319725,3.25270228937749,0.00114313196213381,0.0696127946595969
"ENSG00000070190",2.48319581151091,4.29566705571796,1.32305293719826,3.2467839607496,0.00116716950208544,0.0702689093414618
"ENSG00000101596",21.1509774872776,3.33886217197233,1.03009959496562,3.24130034444268,0.00118985749659325,0.0708299440106861
